Provinsi,Tahun,Produktivitas (ku/ha)
ACEH,2018,"56,49"
ACEH,2019,"55,3"
ACEH,2020,"55,28"
ACEH,2021,"55,03"
ACEH,2022,"55,55"
ACEH,2023,"55,22"
ACEH,2024,"55,11"
BENGKULU,2018,"43,83"
BENGKULU,2019,"46,03"
BENGKULU,2020,"45,66"
BENGKULU,2021,"48,67"
BENGKULU,2022,"49,27"
BENGKULU,2023,"49,53"
BENGKULU,2024,"48,92"
JAMBI,2018,"44,44"
JAMBI,2019,"44,57"
JAMBI,2020,"45,58"
JAMBI,2021,"46,29"
JAMBI,2022,"45,88"
JAMBI,2023,"45,06"
JAMBI,2024,"45,6"
LAMPUNG,2018,"48,61"
LAMPUNG,2019,"46,63"
LAMPUNG,2020,"48,62"
LAMPUNG,2021,"50,77"
LAMPUNG,2022,"51,87"
LAMPUNG,2023,"52,03"
LAMPUNG,2024,"52,5"
RIAU,2018,"37,28"
RIAU,2019,"36,56"
RIAU,2020,"37,64"
RIAU,2021,"40,98"
RIAU,2022,"41,83"
RIAU,2023,"39,68"
RIAU,2024,"39,36"
SUMATERA BARAT,2018,"47,37"
SUMATERA BARAT,2019,"47,58"
SUMATERA BARAT,2020,"46,92"
SUMATERA BARAT,2021,"48,36"
SUMATERA BARAT,2022,"50,52"
SUMATERA BARAT,2023,"49,32"
SUMATERA BARAT,2024,"45,94"
SUMATERA SELATAN,2018,"51,48"
SUMATERA SELATAN,2019,"48,27"
SUMATERA SELATAN,2020,"49,75"
SUMATERA SELATAN,2021,"51,44"
SUMATERA SELATAN,2022,"54,06"
SUMATERA SELATAN,2023,"56,19"
SUMATERA SELATAN,2024,"55,83"
SUMATERA UTARA,2018,"51,65"
SUMATERA UTARA,2019,"50,32"
SUMATERA UTARA,2020,"52,51"
SUMATERA UTARA,2021,52
SUMATERA UTARA,2022,"50,76"
SUMATERA UTARA,2023,"51,4"
SUMATERA UTARA,2024,"52,56"